season,player_id,name,position,team,games,points,ppg,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,rushing_first_downs,targets,receptions,receiving_yards,receiving_tds,receiving_first_downs
2023,00-0038583,Dorian Thompson-Robinson,QB,CLE,7,9.0,1.29,112,60,440,1,4,14,65,0,4,0,0,0,0,0
2023,00-0038589,Josh Whyle,TE,TEN,9,21.9,2.43,0,0,0,0,0,0,0,0,0,15,9,94,1,8
2023,00-0038597,Chase Brown,RB,CIN,12,53.4,4.45,0,0,0,0,0,44,179,0,6,15,14,156,1,4
2023,00-0038598,Jaren Hall,QB,MIN,3,-3.73,-1.24,20,13,168,0,1,6,14,0,0,0,0,0,0,0
2023,00-0038606,Parker Washington,WR,JAX,8,30.45,3.81,0,0,0,0,0,0,0,0,0,21,16,132,2,5
2023,00-0038608,Kayshon Boutte,WR,NE,3,3.15,1.05,0,0,0,0,0,0,0,0,0,7,2,19,0,1
2023,00-0038611,Chris Rodriguez Jr.,RB,WAS,9,46.25,5.14,0,0,0,0,0,51,247,2,14,2,2,12,0,1
2023,00-0038612,A.T. Perry,WR,NO,8,59.6,7.45,0,0,0,0,0,0,0,0,0,18,12,246,4,10
2023,00-0038618,Xavier Hutchinson,WR,HOU,12,19.9,1.66,0,0,0,0,0,5,49,0,3,19,8,90,0,3
2023,00-0038619,Andrei Iosivas,WR,CIN,11,45.85,4.17,0,0,0,0,0,0,0,0,0,25,15,116,4,11
2023,00-0038621,DeMario Douglas,WR,NE,14,94.0,6.71,0,0,0,0,0,8,41,0,2,79,49,561,0,26
2023,00-0038622,Deuce Vaughn,RB,DAL,6,14.3,2.38,0,0,0,0,0,23,40,0,1,7,7,40,0,1
2023,00-0038627,Antoine Green,WR,DET,2,0.7,0.35,0,0,0,0,0,0,0,0,0,2,1,2,0,0
2023,00-0038632,Colton Dowell,WR,TEN,4,0.8,0.2,0,0,0,0,0,0,0,0,0,2,1,3,0,0
2023,00-0038640,Jalen Brooks,WR,DAL,3,10.4,3.47,0,0,0,0,0,0,0,0,0,6,6,64,0,4
2023,00-0038643,Brayden Willis,TE,SF,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,00-0038647,Ronnie Bell,WR,SF,13,28.05,2.16,0,0,0,0,0,0,0,0,0,13,6,68,3,5
2023,00-0038656,Mohamed Ibrahim,RB,DET,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,00-0038667,Elijah Cooks,WR,JAX,4,5.8,1.45,0,0,0,0,0,0,0,0,0,4,3,38,0,2
2023,00-0038678,Jordan Mims,RB,NO,2,0.0,0.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2023,00-0038685,Chris Brooks,RB,MIA,3,14.0,4.67,0,0,0,0,0,19,106,0,2,0,0,0,0,0
2023,00-0038705,Emari Demercado,RB,ARI,11,78.1,7.1,0,0,0,0,0,58,284,2,12,30,21,119,0,4
2023,00-0038720,Julian Hill,TE,MIA,10,5.3,0.53,0,0,0,0,0,0,0,0,0,9,6,48,0,2
2023,00-0038738,Hunter Luepke,RB,DAL,10,13.3,1.33,0,0,0,0,0,6,19,1,5,4,3,18,0,1
2023,00-0038752,Jake Bobo,WR,SEA,14,50.0,3.57,0,0,0,0,0,1,3,1,1,25,19,196,2,9
2023,00-0038783,Nate Adkins,TE,DEN,5,4.45,0.89,0,0,0,0,0,0,0,0,0,5,4,22,0,1
2023,00-0038794,Jaleel McLaughlin,RB,DEN,17,107.85,6.34,0,0,0,0,0,76,410,1,16,36,31,160,2,5
2023,00-0038797,Emanuel Wilson,RB,GB,5,13.95,2.79,0,0,0,0,0,14,85,0,2,5,4,23,0,1
2023,00-0038809,Ben Sims,TE,GB,6,10.85,1.81,0,0,0,0,0,0,0,0,0,6,4,21,1,3
2023,00-0038821,Rakim Jarrett,WR,TB,7,9.35,1.34,0,0,0,0,0,1,0,0,0,9,4,60,0,1
2023,00-0038862,Elijah Dotson,RB,LAC,1,3.3,3.3,0,0,0,0,0,4,6,0,0,2,2,13,0,0
2023,00-0038891,Shedrick Jackson,WR,CIN,2,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,00-0038911,Malik Cunningham,WR,NE,1,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,00-0038933,Dalton Kincaid,TE,BUF,16,125.55,7.85,0,0,0,0,0,0,0,0,0,91,73,673,2,29
2023,00-0038935,Brenton Strange,TE,JAX,7,12.5,1.79,0,0,0,0,0,0,0,0,0,9,5,35,1,2
2023,00-0038938,Jalin Hyatt,WR,NYG,13,58.05,4.47,0,0,0,0,0,0,0,0,0,40,23,373,0,11
2023,00-0038941,Tyler Scott,WR,CHI,13,30.1,2.32,0,0,0,0,0,7,41,0,2,32,17,168,0,10
2023,00-0038951,Sean Tucker,RB,TB,3,5.95,1.98,0,0,0,0,0,15,23,0,1,2,2,9,0,0
2023,00-0038969,Kearis Jackson,WR,TEN,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,00-0038976,Marvin Mims Jr.,WR,DEN,16,73.85,4.62,0,0,0,0,0,9,30,0,2,33,22,377,1,9
2023,00-0038977,Tank Dell,WR,HOU,10,157.35,15.74,0,0,0,0,0,11,51,0,3,75,47,709,7,34
2023,00-0038979,Cedric Tillman,WR,CLE,11,38.3,3.48,0,0,0,0,0,1,8,0,0,44,21,224,0,12
2023,00-0038994,Jordan Addison,WR,MIN,17,203.4,11.96,0,0,0,0,0,1,2,0,0,108,70,911,10,38
2023,00-0038996,Tucker Kraft,TE,GB,14,73.0,5.21,0,0,0,0,0,0,0,0,0,40,31,355,2,18
2023,00-0038997,Josh Downs,WR,IND,17,137.1,8.06,0,0,0,0,0,0,0,0,0,98,68,771,2,30
2023,00-0039021,Roschon Johnson,RB,CHI,15,103.7,6.91,0,0,0,0,0,81,352,2,16,40,34,209,0,6
2023,00-0039032,Tyjae Spears,RB,TEN,17,157.05,9.24,0,0,0,0,0,100,453,2,24,70,52,385,1,17
2023,00-0039040,De'Von Achane,RB,MIA,11,205.0,18.64,0,0,0,0,0,103,800,8,30,37,27,197,3,10
2023,00-0039041,Elijah Higgins,TE,ARI,11,31.55,2.87,0,0,0,0,0,0,0,0,0,19,14,163,1,9
2023,00-0039050,Payne Durham,TE,TB,6,9.05,1.51,0,0,0,0,0,0,0,0,0,7,5,58,0,3
2023,00-0039052,Trey Palmer,WR,TB,17,83.5,4.91,0,0,0,0,0,3,22,0,1,68,39,385,3,17
2023,00-0039062,Jonathan Mingo,WR,CAR,15,71.55,4.77,0,0,0,0,0,0,0,0,0,85,43,418,0,15
