player_id,name,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
3264,Daniel Jones,QB,IND,148.7,11.09,9,131,163,9.8,13
6799,Jonah Coleman,RB,DEN,148.8,11.09,5,139,164,9.4,10
5688,Dalton Kincaid,TE,BUF,148.8,11.09,33,110,179,19.7,7
6777,De'Zhaun Stribling,WR,SF,148.8,11.09,39,111,178,14.4,8
6263,Kimani Vidal,RB,LAC,150.2,11.10,6,93,201,37.9,7
6778,Denzel Boston,WR,CLE,150.6,11.11,50,116,179,16.9,11
4892,Jordan Love,QB,GB,150.8,11.11,66,112,178,17.1,11
6773,Kenyon Sadiq,TE,NYJ,151.7,11.12,6,136,179,16.7,13
6787,Ja'Kobi Lane,WR,BAL,153.1,11.13,7,110,174,21.1,13
6296,Will Reichard,PK,MIN,153.4,11.13,12,122,178,16.4,6
5151,Juwan Johnson,TE,NO,153.8,11.14,6,135,204,26.6,8
5982,Keaton Mitchell,RB,LAC,154.1,11.14,8,117,209,35.6,7
6587,Tyler Loop,PK,BAL,155.0,12.01,28,119,177,15.4,13
2335,Cairo Santos,PK,CHI,155.1,12.01,19,136,179,14.6,10
1324,Pittsburgh Defense,DEF,PIT,155.2,12.01,66,131,180,13.1,9
5545,Malik Willis,QB,MIA,155.4,12.01,16,129,179,14.8,6
383,Nick Folk,PK,ATL,155.4,12.01,13,137,176,12.7,11
3097,Eddy Piñeiro,PK,SF,156.1,12.02,23,115,180,17.7,8
2449,Cooper Kupp,WR,SEA,156.2,12.02,57,105,180,19.5,11
5985,Brenton Strange,TE,JAX,156.5,12.02,19,115,208,25.9,7
6287,Malik Washington,WR,MIA,157.9,12.04,10,116,204,26.0,6
6563,Travis Hunter,WR,JAX,158.2,12.04,17,123,176,14.3,7
6789,Antonio Williams,WR,WAS,158.4,12.04,21,130,184,14.4,7
6184,Adonai Mitchell,WR,NYJ,158.8,12.05,28,133,178,13.0,13
5691,Tank Bigsby,RB,PHI,159.8,12.06,9,61,201,43.0,10
5717,Chris Rodriguez Jr.,RB,JAX,159.9,12.06,29,117,198,20.5,7
6276,Tyrone Tracy Jr.,RB,NYG,160.2,12.06,39,128,180,16.5,8
6775,Omar Cooper Jr.,WR,NYJ,160.3,12.06,15,141,180,12.4,13
