season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2024,ARI,REG,17,374,543,3859,21,11,30,-220,3,1,3697,1974,191,64.5263492027275,2.18109165676237,0,155,70,43,3,463,2451,18,9,4,136,21.7139280274535,3,73,58,17,7,374,523,3859,21,5,4,3697,1972,191,109.596054515322,0,155,70,43,3,1,566,91,497,87,351,17,41,256,76,9,12,63,0,1,2,0,10,-9,8,0,2,92,806,52,16,5,2,21,9,21,202,25,709,34,38,3,1,58,0.894736842105263,0,7,12,10,5,0,0,0,0,3,0,0,29;31;48;57;42;45;30;42;35;38;40;32;57;34;29;55;37;35;22;32;31;24;40;23;28;49;35;40;48;30;58;28;51;49,47;45;40,45,1304,132,45,36,37,0,1,0.972972972972973,2,2,0,0,32;34,54,0,63,2563,20,4,7,2,20,21,214,0,2309
2024,ATL,REG,17,364,559,4283,21,19,32,-215,9,2,4466,1958,198,34.3166867774793,-0.0626245157616921,0,181,89,54,8,495,2219,18,6,0,133,0.128414688618602,2,56,46,10,0,364,539,4283,21,3,1,4466,1958,198,104.144791163105,0,181,89,54,8,0,628,67,445,79,307,12,31,187,74,12,187,66,3,0,1,0,13,-43,6,5,1,99,828,64,13,8,3,21,5,21,200,30,791,29,41,10,2,58,0.707317073170732,0,7,8,7,7,0,0,0,1,5,4,0,24;39;22;34;54;53;44;42;58;54;48;52;21;31;35;39;27;41;51;41;26;20;29;40;48;52;37;39;31,41;54;46;53;46;35;42;43;56;52,54;35,1132,468,89,38,38,0,0,1.0,1,1,0,0,58,47,0,65,2163,14,3,4,4,14,22,305,0,1778
2024,BAL,REG,17,318,477,4189,41,4,24,-154,2,1,4162,2086,199,170.468876145054,4.70259949010624,0,176,92,56,14,554,3189,21,9,5,164,50.3468627334633,1,89,68,29,7,318,457,4189,41,1,1,4162,2086,199,219.517793930137,0,176,92,56,14,0,591,61,419,82,362,12,53,314,122,12,102,82,2,3,0,0,12,-41,5,8,1,132,1120,66,11,8,0,19,7,22,213,30,811,22,30,8,0,56,0.733333333333333,0,4,7,5,6,0,0,0,0,3,5,0,25;32;48;42;32;56;24;45;32;39;28;52;49;33;37;54;45;34;50;51;23;52,53;56;46;50;47;50;47;53,,883,402,0,60,62,2,0,0.967741935483871,1,1,0,0,24,55,0,70,2551,22,7,5,6,16,21,163,0,2268
2024,BUF,REG,17,329,520,3938,30,6,14,-63,4,2,4262,2186,181,132.671716739323,0.253748071916176,1,150,82,56,11,491,2230,32,2,0,139,48.1252766057172,0,56,42,13,4,329,495,3938,30,2,0,4262,2186,181,172.570791172761,1,150,82,56,11,0,604,101,425,93,426,18,37,246,94,16,145,60,2,1,1,0,8,0,16,43,1,112,833,68,7,4,1,11,2,27,313,24,621,24,29,5,0,61,0.827586206896552,0,6,7,7,3,1,0,1,0,4,0,0,37;39;43;27;43;50;38;33;22;28;30;27;40;49;61;29;47;28;33;50;41;50;39;49,45;48;47;49;24,,933,213,0,59,64,4,1,0.921875,1,1,0,0,61,54,1,65,2523,25,4,8,5,13,24,213,0,2210
2024,CAR,REG,17,341,547,3411,22,15,36,-223,3,1,4464,1431,168,-49.3108154192874,-0.0269004564487796,0,138,70,43,3,410,1878,18,3,3,99,3.74368307306557,1,40,32,13,0,341,518,3411,22,6,3,4464,1431,168,28.4872545931391,0,138,70,43,3,0,650,72,566,65,299,8,32,223,64,9,96,67,0,1,0,37,7,2,8,0,0,118,947,73,13,4,3,17,7,24,177,42,1060,22,26,4,0,53,0.846153846153846,0,7,8,6,1,0,0,0,1,2,1,0,43;38;43;35;26;48;27;24;40;48;53;36;30;32;29;33;47;27;22;38;29;35,45;38;45;53,,783,181,0,33,35,2,0,0.942857142857143,1,1,0,0,36,73,1,65,3338,24,4,20,3,20,26,178,0,3100
2024,CHI,REG,17,353,566,3552,20,7,68,-466,6,3,4534,1876,172,-53.3144112069482,-0.203893585803391,3,145,69,40,6,431,1734,13,4,2,97,-27.3735776964033,0,42,28,7,1,353,526,3552,20,5,2,4534,1876,172,81.190060009288,3,145,69,40,6,2,590,113,447,81,331,17,40,254,100,11,87,66,1,1,0,21,9,-7,13,41,0,110,867,68,9,10,1,19,9,24,304,27,768,21,25,1,3,54,0.84,0,4,4,5,8,0,0,0,0,0,1,0,24;50;48;53;54;53;40;33;29;53;53;33;53;27;49;48;29;39;30;42;51,56,43;46;48,891,56,137,25,26,1,0,0.961538461538461,1,2,0,1,46;51,82,0,68,3911,34,5,9,4,23,41,422,0,3409
2024,CIN,REG,17,460,652,4918,43,9,48,-278,9,5,4614,2192,253,115.126955424456,6.78678849462871,0,190,86,49,12,380,1574,11,6,2,88,-9.5136954082752,1,40,28,9,2,460,628,4918,43,5,3,4614,2192,253,220.743570361807,0,190,86,49,12,1,592,82,458,72,315,14,36,217,105,15,249,79,2,3,1,0,7,-3,10,85,0,101,780,83,20,4,5,24,13,34,248,39,1133,25,33,8,0,59,0.757575757575758,0,11,6,4,4,0,0,0,1,3,4,0,51;22;33;48;53;28;31;56;46;37;27;44;27;26;27;38;37;29;21;59;22;48;27;35;23,48;53;50;54;48;51;47;33,,895,384,0,51,53,2,0,0.962264150943396,0,0,0,0,,53,0,80,2603,25,2,4,5,16,26,228,0,2275
2024,CLE,REG,17,395,661,3879,19,23,66,-373,9,5,5139,1711,180,-175.005185328044,-4.13569784737912,5,155,68,39,4,391,1608,8,6,3,93,-25.8460519666128,0,34,27,7,2,395,634,3879,19,2,1,5139,1711,180,-37.5773693246258,5,155,68,39,4,1,587,113,403,112,420,12,41,267,108,4,-2,60,0,2,1,50,9,-8,8,27,1,119,915,66,16,4,0,20,11,45,450,41,1018,18,27,8,1,56,0.666666666666667,0,3,6,5,4,0,0,1,1,3,3,0,51;53;38;44;56;51;31;43;49;31;28;33;48;38;34;45;25;23,53;52;49;51;27;47;38;43,51,721,360,51,18,21,3,0,0.857142857142857,0,0,0,0,,89,0,84,4387,36,14,11,7,17,40,530,1,3717
2024,DAL,REG,17,398,637,4092,23,14,38,-230,6,2,4686,2030,192,-46.1772606565134,-4.82557275095937,1,161,77,47,7,429,1705,6,12,5,98,-51.7305831476209,0,42,27,3,0,398,622,4092,23,7,5,4686,2030,192,13.6108595595462,1,161,77,47,7,3,631,51,447,70,371,18,51,330,105,13,97,70,1,2,0,0,14,-27,9,0,0,128,921,60,19,10,1,29,14,19,187,34,1091,40,47,5,2,65,0.851063829787234,0,4,8,14,12,2,0,0,0,2,1,2,57;40;50;46;52;38;48;40;65;51;60;40;55;33;34;47;50;29;34;57;46;23;53;46;48;23;33;35;47;52;45;41;58;49;58;53;34;41;36;22,51;40;42;70;61,38;35,1769,264,73,30,30,0,0,1.0,0,0,0,0,,62,0,62,3005,24,1,5,3,20,33,341,0,2604
2024,DEN,REG,17,379,570,3808,30,12,24,-198,1,0,4130,2091,172,40.0330599328863,0.779756862934821,0,134,77,52,6,461,1908,12,5,3,124,-14.3580078703289,0,54,40,10,1,379,549,3808,30,6,4,4130,2091,172,76.1809620407662,0,134,77,52,6,0,608,87,461,94,444,12,63,360,142,15,430,68,3,0,2,0,6,-1,9,136,2,108,941,79,11,3,1,14,7,26,408,13,364,31,34,2,1,55,0.911764705882353,0,2,13,11,5,0,0,0,0,0,1,1,35;30;45;35;29;43;38;33;43;47;51;44;40;46;32;52;38;37;45;38;53;54;45;33;36;27;44;41;55;30;33,50;60,35,1252,110,35,46,46,0,0,1.0,0,1,0,1,35,77,0,65,3597,33,8,11,5,24,29,251,0,3246
