season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2023,GB,REG,17,374,581,4210,32,11,30,-242,4,1,4940,1926,211,90.1094936017179,1.29442507145452,2,164,86,56,7,441,1905,10,6,3,101,-30.993964025444,0,46,31,13,1,374,561,4210,32,5,1,4940,1925,211,143.405645618165,2,164,86,56,7,0,626,114,418,64,317,10,45,288,108,7,68,68,1,6,0,23,14,-8,11,80,1,105,856,77,12,11,2,23,7,26,189,31,783,27,33,6,0,53,0.818181818181818,0,6,14,4,3,0,0,0,0,4,1,1,52;33;38;34;50;37;22;29;30;26;34;31;28;28;43;40;48;36;32;48;36;33;53;32;34;37;25,43;48;52;63;45;41,,969,292,0,34,39,4,1,0.871794871794872,1,1,0,0,32,57,0,68,2634,18,2,5,5,22,23,270,1,2264
2023,HOU,REG,17,372,592,4578,27,8,47,-405,6,3,5177,1982,215,37.3691456314129,-1.27347053782258,1,179,103,69,10,444,1647,10,5,1,84,-59.3727067458358,1,48,32,4,0,372,566,4578,27,3,2,5177,1982,215,132.64713340222,1,179,103,69,10,2,608,135,449,82,390,15,44,349,113,14,63,70,0,2,0,0,9,-18,10,37,1,114,937,70,10,7,2,17,6,30,292,23,613,34,38,4,0,54,0.894736842105263,0,13,13,3,5,0,0,0,0,1,3,0,35;38;36;29;36;28;26;33;36;38;39;38;43;28;42;24;22;50;29;45;22;38;29;38;38;23;27;53;54;28;38;27;51;51,51;48;50;58,,1212,207,0,31,33,2,0,0.939393939393939,2,2,0,0,38;54,80,0,74,3735,32,6,10,5,30,29,192,0,3443
2023,IND,REG,17,355,574,3882,18,10,41,-216,7,5,4255,1863,178,0.101084733418758,-3.93092886650519,4,145,68,45,11,479,2059,19,4,2,113,-41.0728227755719,0,54,38,14,4,355,546,3882,18,3,1,4255,1863,178,90.8666406012512,4,145,68,45,11,1,660,137,407,76,378,17,51,315,108,15,256,69,3,4,1,18,7,-9,9,34,1,95,685,57,15,6,2,21,12,29,267,9,200,33,41,7,1,57,0.804878048780488,0,9,9,7,8,0,0,0,1,2,4,0,42;31;54;53;53;53;43;35;28;28;56;27;20;42;26;57;51;46;36;23;46;23;28;29;31;42;33;38;33;45;38;52;35,47;57;58;38;56;43;57,60,1277,356,60,35,36,1,0,0.972222222222222,1,1,0,0,53,68,1,69,3281,21,7,10,0,13,38,360,0,2921
2023,JAX,REG,17,412,620,4377,22,14,41,-251,8,5,4981,1937,199,5.37780768935135,1.66050909329482,1,174,77,51,10,453,1646,17,5,3,98,-65.1835674526775,2,41,27,9,1,412,607,4377,22,8,6,4981,1945,199,76.4623745322368,1,174,77,51,10,0,596,109,371,61,306,12,40,279,107,16,264,84,2,3,0,0,9,-20,11,13,0,83,644,59,20,8,3,28,16,29,297,29,688,30,37,6,1,56,0.810810810810811,0,4,10,11,5,0,0,0,0,2,4,0,45;32;49;22;33;56;43;38;44;48;49;51;43;50;51;38;37;37;30;25;40;48;53;40;35;26;24;34;44;30,48;55;48;50;55;52,51,1195,308,51,35,35,0,0,1.0,0,0,0,0,,61,0,65,2893,29,8,5,4,22,22,143,0,2670
2023,KC,REG,17,421,635,4383,28,17,28,-195,4,3,4095,2680,216,37.917123287212,1.71031510591109,0,167,78,52,8,417,1784,9,2,1,107,-18.1192900998672,0,46,34,10,1,421,599,4383,28,7,5,4095,2680,216,85.7283804495374,0,166,78,52,8,0,628,87,309,75,380,15,57,351,125,8,69,72,0,5,0,0,8,-5,9,161,2,96,845,54,13,7,1,20,11,41,380,12,241,33,35,2,0,60,0.942857142857143,0,8,13,7,4,1,0,0,2,0,0,0,35;39;38;41;38;37;37;26;38;40;35;60;25;52;35;23;34;56;43;32;34;34;27;29;54;54;43;27;24;48;46;22;41,39;36,,1247,75,0,38,38,0,0,1.0,0,0,0,0,,59,0,68,2776,20,4,10,5,20,20,207,0,2469
2023,LA,REG,17,361,583,4300,26,13,34,-237,1,1,4507,2039,206,43.636669431929,-3.26815152490461,3,168,88,64,8,477,2045,18,2,1,110,3.33253033024153,1,43,25,11,1,361,555,4300,26,4,2,4507,2046,206,118.492206015263,3,168,88,64,8,0,546,120,430,65,304,7,41,267,91,10,100,76,0,3,2,0,5,0,5,9,0,89,720,80,8,3,1,11,5,28,204,9,145,32,43,10,1,54,0.744186046511628,0,11,7,9,5,0,0,0,0,6,4,0,38;54;45;43;48;38;30;23;42;40;54;51;29;35;25;43;41;33;47;52;22;24;44;28;27;51;36;22;27;20;22;32,56;46;48;53;51;49;50;43;43;47,57,1166,486,57,32,37,5,0,0.864864864864865,0,0,0,0,,63,1,72,3101,20,7,5,7,12,32,495,2,2466
2023,LAC,REG,17,409,632,4312,24,8,43,-355,8,5,4733,2176,204,-2.58025367843425,-1.56713924598228,1,161,85,55,7,431,1642,11,6,3,89,-70.5848118349911,0,33,22,9,3,409,614,4312,24,8,4,4733,2177,204,98.4789719504349,1,161,84,55,7,1,642,117,345,70,351,15,48,334,88,9,31,83,0,3,0,0,10,-7,12,52,0,79,725,56,21,4,2,25,13,24,385,18,390,31,33,1,1,55,0.939393939393939,0,7,8,9,7,0,0,0,0,0,1,0,50;25;27;30;33;33;24;55;43;53;46;55;38;48;25;26;39;38;38;20;40;47;45;53;36;50;52;49;40;43;20,53,50,1221,53,50,35,35,0,0,1.0,0,0,0,0,,75,0,83,3475,30,4,8,4,31,28,221,0,3174
2023,LV,REG,17,348,557,3666,20,18,40,-286,3,2,4281,1611,182,-44.8975907137713,-3.70922904117857,1,155,71,35,5,413,1542,11,5,2,83,-56.1410749770447,1,25,19,7,3,348,531,3666,20,2,1,4281,1611,182,50.6051500818397,1,155,71,35,5,0,636,113,425,69,337,14,46,290,89,13,268,56,3,2,1,0,7,0,9,52,2,75,629,67,7,7,1,14,6,25,249,11,262,26,30,3,1,54,0.866666666666667,0,10,6,9,1,0,0,0,1,1,1,0,24;47;26;22;26;25;37;30;24;40;25;24;46;41;41;54;40;34;47;34;24;35;40;33;49;21,52;41;30,53,889,123,53,32,32,0,0,1.0,0,0,0,0,,75,0,83,3783,34,15,3,6,20,31,283,0,3380
2023,MIA,REG,17,393,566,4698,30,15,31,-184,1,1,4306,2228,223,111.642263379251,4.54647164852893,0,190,105,59,12,456,2308,27,13,7,113,-11.8167357281357,0,65,47,17,8,393,549,4698,30,4,2,4306,2227,223,163.86165608382,0,190,105,59,12,0,589,123,375,70,350,15,56,371,139,15,270,81,4,1,0,0,13,-46,12,36,0,97,767,54,9,15,1,24,10,27,265,18,441,24,28,2,2,57,0.857142857142857,0,6,7,6,5,0,0,0,0,0,2,0,23;41;45;23;40;40;30;41;51;38;54;49;20;31;37;27;35;57;52;54;35;29;27;38,55;50,49;44,917,105,93,58,59,1,0,0.983050847457627,1,1,0,0,29,53,0,66,2424,20,6,8,3,19,17,207,1,2157
2023,MIN,REG,17,424,631,4700,30,19,47,-341,10,7,4930,1926,220,2.68150328053393,3.00014254332769,1,189,104,74,7,393,1553,7,7,4,79,-28.4934263131111,0,38,27,5,0,424,606,4700,30,4,3,4930,1926,220,105.017799187699,1,189,104,74,7,0,636,125,441,57,278,22,43,302,91,11,112,67,0,2,0,0,10,-10,11,99,2,89,670,76,20,6,2,26,15,37,289,19,477,24,30,5,1,54,0.8,1,7,9,3,4,0,0,0,0,2,3,0,25;23;40;29;53;51;21;20;54;25;19;32;31;40;33;34;30;34;36;39;26;54;39;43,57;50;42;54;49,44,831,252,44,36,38,1,1,0.947368421052632,0,0,0,0,,60,0,68,2887,16,7,2,7,16,28,277,0,2470
2023,NE,REG,17,351,557,3392,16,21,48,-323,4,2,4096,1848,153,-137.782426271062,-3.46588885718044,0,133,57,34,4,415,1627,9,3,2,93,-37.5642528441704,0,28,22,3,1,351,541,3392,16,5,4,4096,1848,153,-62.7234997776243,0,133,57,34,4,1,625,117,421,64,309,15,36,248,78,10,96,66,0,6,1,4,7,-4,8,1,1,89,676,60,14,5,4,19,8,33,208,18,471,16,25,9,0,56,0.64,0,4,5,5,2,0,0,0,2,5,2,0,49;48;51;29;43;30;24;49;38;43;37;24;25;33;56;30,48;57;52;48;35;35;41;47;47,,609,410,0,24,25,1,0,0.96,1,1,0,0,56,98,0,79,4598,38,14,8,8,24,44,439,0,3999
2023,NO,REG,17,406,606,4225,28,11,35,-235,5,2,5016,1799,199,19.694444623421,1.87430762925502,2,156,83,52,11,480,1742,13,6,3,112,-52.2110362381051,2,42,26,4,0,406,579,4225,28,0,0,5016,1799,199,105.860907523266,2,156,83,52,11,1,557,96,420,62,275,8,34,244,77,18,185,99,1,1,0,0,6,0,11,31,1,96,846,62,12,1,0,13,7,32,392,22,466,30,37,7,0,55,0.810810810810811,0,10,6,8,6,0,0,2,0,2,3,0,26;33;52;28;23;25;37;32;44;54;53;48;45;23;35;42;27;55;48;25;52;41;45;39;50;45;28;38;24;24,46;52;29;51;47;54;29,,1141,308,0,40,40,0,0,1.0,0,1,1,0,46,75,0,62,3224,31,10,8,4,24,29,163,0,2981
2023,NYG,REG,17,338,518,3351,15,12,85,-465,5,1,3786,1601,141,-112.029008194814,0.565530009490928,0,115,60,44,7,454,1874,10,8,3,97,-66.1397483280896,1,49,35,12,0,338,485,3351,15,3,1,3786,1601,141,33.1876447508389,0,115,60,44,7,1,649,85,377,64,299,19,34,259,83,18,404,81,3,7,0,0,16,-24,13,21,0,89,711,76,11,13,1,24,7,35,311,13,249,22,31,8,1,57,0.709677419354839,0,4,7,6,5,0,0,0,2,4,2,0,34;44;57;55;49;37;51;29;43;29;31;40;36;42;37;56;40;52;31;32;24;21,36;55;42;47;35;48;54;45,45,870,362,45,24,25,1,0,0.96,2,3,1,0,34;37;54,95,0,74,4372,35,7,9,4,36,39,270,0,4022
2023,NYJ,REG,17,356,601,3373,11,15,64,-454,12,6,4000,1782,156,-186.570977394868,-4.96625095658785,1,126,53,37,3,388,1647,7,11,6,77,-70.0038758613779,2,38,28,9,4,356,563,3373,11,2,2,4000,1782,156,-36.7698822852078,1,126,53,37,3,1,615,120,410,78,343,14,46,304,107,17,212,91,2,4,3,0,12,-28,10,39,1,124,945,74,24,8,2,32,18,33,319,24,542,36,39,2,1,55,0.923076923076923,0,8,10,13,5,0,0,0,0,1,1,0,26;43;30;34;52;31;30;26;27;22;49;43;42;35;38;35;33;47;46;47;53;30;45;27;46;51;55;44;25;27;54;46;44;21;40;33,52;49,31,1377,101,31,16,17,1,0,0.941176470588235,2,2,0,0,33;54,99,0,62,4831,36,8,7,8,28,48,535,1,4136
2023,PHI,REG,17,369,563,4067,24,16,39,-233,4,2,4844,1786,197,62.7184585260418,3.74087121940794,0,160,76,50,7,510,2190,22,9,5,149,10.3035549382158,1,54,41,11,1,369,525,4067,24,4,4,4844,1786,197,123.587658589417,0,160,76,50,7,0,651,71,367,67,274,16,43,255,106,9,207,74,2,2,1,0,9,-3,8,51,1,95,785,64,16,6,1,22,12,29,417,13,254,30,32,2,0,61,0.9375,0,9,7,7,6,1,0,0,1,0,1,0,32;56;48;51;24;61;36;38;26;41;47;36;54;34;26;26;24;51;59;26;39;52;44;27;28;21;44;43;43;36,55;37,,1173,92,0,45,46,1,0,0.978260869565217,1,1,0,0,54,52,0,63,2537,17,2,10,1,7,32,277,0,2240
2023,PIT,REG,17,323,506,3421,13,9,36,-258,2,1,3785,1746,153,-45.7123586433911,-0.245615679863071,1,130,54,41,9,487,2010,16,9,3,115,-36.8804431190764,0,55,37,14,1,323,484,3421,13,6,2,3785,1745,153,31.1307151140825,1,129,54,41,9,0,613,117,355,72,328,19,47,304,107,16,184,80,1,3,1,0,10,-18,11,35,1,86,753,65,14,7,4,21,7,30,257,24,565,29,31,2,0,57,0.935483870967742,0,9,7,7,6,0,0,0,0,1,0,1,52;50;43;42;57;35;23;43;25;42;53;22;29;30;42;49;35;28;41;34;33;29;56;50;30;39;26;21;25,61;45,,1084,106,0,27,28,1,0,0.964285714285714,0,0,0,0,,89,0,63,3914,33,11,11,8,30,29,269,0,3485
2023,SEA,REG,17,371,575,4167,23,12,38,-257,4,2,4121,2019,189,32.427961976086,1.4121010463678,2,161,86,56,6,382,1580,11,2,1,93,-21.4680270041887,0,48,33,13,1,371,547,4167,23,0,0,4121,2019,189,121.846944897848,2,161,86,56,6,0,658,120,468,82,370,13,47,298,97,11,177,77,3,2,0,10,3,-10,8,15,0,111,954,66,5,3,0,8,5,25,265,26,680,35,42,7,0,55,0.833333333333333,0,8,11,12,4,0,0,0,1,2,4,0,36;42;25;43;35;33;37;39;34;55;23;21;48;32;33;45;43;33;45;43;54;43;52;51;30;40;26;43;28;27;43;42;24;33;29,39;45;56;53;55;53;42,,1310,343,0,33,33,0,0,1.0,1,2,1,0,43;55,66,0,73,3303,25,3,9,8,12,34,232,0,2911
2023,SF,REG,17,336,491,4577,33,12,34,-193,6,3,4018,2189,207,143.048214060758,4.7468854047184,0,178,105,75,15,499,2389,27,5,2,147,19.010535920275,0,74,56,11,3,336,471,4577,33,3,1,4018,2189,207,210.764550951178,0,178,105,75,15,0,606,104,366,69,349,10,48,307,122,22,309,84,1,2,1,0,8,-2,6,26,0,101,933,56,10,6,2,16,6,34,273,20,437,21,25,4,0,57,0.84,0,7,8,4,2,0,0,0,1,2,1,0,41;32;40;27;57;26;28;21;36;25;55;36;39;35;37;28;32;43;45;38;22,54;41;40;38,,743,173,0,60,61,1,0,0.983606557377049,0,1,1,0,41,52,0,67,2480,26,4,11,2,13,22,220,0,2220
2023,TB,REG,17,364,568,4044,28,10,40,-232,5,3,4865,1927,188,47.2337025499575,0.0528411756862294,2,145,86,60,12,439,1509,8,4,1,79,-77.0876220310538,0,36,21,5,0,364,550,4044,28,6,3,4865,1927,188,115.455616245086,2,145,86,60,12,0,627,113,409,72,352,18,47,325,84,13,93,64,1,2,1,0,12,0,12,7,0,100,751,42,14,7,1,21,8,25,234,16,327,29,31,0,2,57,0.935483870967742,0,8,12,2,7,0,0,0,0,0,0,0,36;57;26;25;33;51;28;33;36;24;36;57;35;49;55;25;35;21;24;55;38;39;46;24;31;51;36;57;39,,40;50,1102,0,90,33,33,0,0,1.0,0,0,0,0,,77,0,74,3854,26,11,9,9,10,38,455,0,3219
2023,TEN,REG,17,304,494,3512,14,11,64,-445,7,2,4569,1596,158,-31.6637397822413,0.444319230118556,1,137,73,54,10,444,1846,16,6,4,103,-26.8543517715778,0,44,34,10,2,304,478,3512,14,2,0,4569,1596,158,73.3097007042631,1,137,73,54,10,0,634,145,441,72,355,13,45,315,84,6,86,55,1,3,0,11,7,-41,8,8,0,110,882,62,11,8,3,19,9,42,330,18,372,29,30,1,0,53,0.966666666666667,0,9,9,6,5,0,0,0,0,0,1,0,50;27;31;45;29;33;41;44;53;35;27;53;34;26;27;38;36;36;48;38;27;53;24;46;28;23;45;33;53,51,,1083,51,0,28,30,2,0,0.933333333333333,1,1,0,0,41,79,1,74,4008,36,10,9,12,19,29,328,0,3440
2023,WAS,REG,17,407,636,4174,24,21,65,-449,3,1,4767,2092,190,-87.4853368009296,0.272567240450029,1,165,81,48,5,359,1592,14,6,5,99,-8.5958496435825,2,48,33,8,0,407,601,4174,24,5,3,4767,2092,190,24.7574551481165,1,165,81,48,5,0,629,111,427,75,267,10,38,164,84,8,85,78,0,3,0,51,7,-14,10,5,1,87,701,62,15,5,2,20,11,35,278,24,601,19,24,4,1,61,0.791666666666667,0,2,7,7,2,1,0,0,0,2,2,0,30;33;44;49;51;27;51;32;37;61;37;30;49;47;23;42;43;47;36,49;59;46;53,27,769,207,27,32,35,2,1,0.914285714285714,0,0,0,0,,73,2,66,3361,30,1,11,2,25,34,271,0,3050
