season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2025,ARI,REG,17,427,649,4354,29,11,59,-399,4,4,4660,2111,216,4.75957977369818,1.03382862367738,1,183,90,49,5,366,1583,9,5,3,91,-21.5048540234015,0,35,22,8,3,427,617,4354,29,1,1,4660,2111,216,136.935535143544,1,183,90,49,5,0,593,23,579,70,294,13,30,205,71,10,51,81,0,1,1,0,3,-6,9,13,2,115,842,62,9,4,1,13,10,19,217,79,1979,25,33,7,1,57,0.757575757575758,0,5,7,7,6,0,0,0,1,2,3,1,42;50;29;47;34;28;33;57;40;44;32;40;39;48;34;26;29;52;38;50;51;25;34;45;56,57;58;33;43;63;50;44,46,1003,348,46,36,36,0,0,1.0,0,0,0,0,,59,1,65,2927,21,4,6,3,17,29,312,0,2555
2025,ATL,REG,17,332,545,3703,19,8,26,-180,5,2,4170,1871,185,4.20909639709465,-3.21660776531076,1,156,75,47,8,477,2138,17,6,4,113,-19.2033657689311,1,54,37,9,2,332,519,3703,19,4,2,4170,1871,185,65.3614382980867,1,156,75,47,8,0,642,17,471,95,429,12,57,366,97,16,173,87,1,2,0,3,8,-5,7,34,0,108,819,61,14,5,1,19,10,24,168,67,1531,32,39,4,3,56,0.82051282051282,0,3,11,10,8,0,0,0,0,2,2,0,41;36;38;29;33;33;54;38;26;33;38;45;38;43;52;45;56;41;54;52;35;43;27;43;49;40;56;51;40;51;38;38,44;49;55;50,37;50;37,1336,198,124,31,33,1,1,0.939393939393939,1,1,0,0,43,64,0,69,2889,34,8,6,3,17,30,231,0,2598
2025,BAL,REG,17,278,422,3278,23,11,45,-293,5,3,3422,1361,141,4.5102146039814,2.99238369637684,1,122,65,43,7,507,2662,23,7,4,146,42.2130653113822,0,71,56,25,6,278,407,3278,23,6,4,3422,1361,141,76.0054389442312,1,122,65,43,7,0,649,21,499,66,250,14,30,189,101,11,242,73,1,1,0,5,7,-4,9,85,1,99,746,62,16,6,4,22,12,16,198,74,1911,30,34,4,0,52,0.882352941176471,0,10,11,8,1,0,0,0,0,1,3,0,52;49;43;32;41;43;32;27;37;42;28;32;44;28;30;22;25;24;44;31;35;27;36;28;36;27;36;22;34;40,55;56;56;44,,1027,211,0,44,46,2,0,0.956521739130435,0,1,1,0,44,53,0,74,2657,24,7,11,6,6,23,159,0,2378
2025,BUF,REG,17,344,495,3981,29,10,40,-298,1,1,3614,2098,196,97.0608115791941,3.81933144587316,2,154,89,61,10,547,2714,30,12,5,146,41.2852186157872,0,68,51,16,6,344,479,3981,29,4,2,3614,2098,196,161.62165664357,2,155,89,61,9,1,576,18,440,84,359,13,36,226,92,13,140,62,1,2,0,0,7,-18,7,29,1,101,848,66,14,5,3,19,9,30,194,66,1842,19,21,2,0,52,0.904761904761905,0,4,7,7,1,0,0,0,1,0,1,0,25;43;32;28;52;33;48;35;31;45;45;43;39;44;38;27;37;26;41,39;52,,712,91,0,48,53,4,1,0.905660377358491,1,1,0,0,32,49,0,62,2189,21,5,7,3,18,16,118,0,2011
2025,CAR,REG,17,329,515,3304,24,12,35,-256,4,3,3450,1629,170,-27.6345867850546,1.41869544362028,1,126,63,43,4,461,1977,9,6,5,109,-19.3555360052051,0,45,28,9,2,329,480,3304,24,3,1,3450,1630,170,72.5261325713482,1,126,63,43,4,0,589,18,556,65,280,9,30,190,58,15,220,64,2,2,0,0,8,-23,6,22,0,95,762,62,12,8,1,20,11,24,176,54,1304,24,29,4,1,57,0.827586206896552,0,6,8,8,2,0,0,0,1,0,3,0,48;27;57;35;41;35;49;31;55;33;30;29;48;49;29;34;28;25;33;40;27;41;48;35,55;32;57;54,48,907,198,48,27,30,3,0,0.9,3,3,0,0,33;49;28,56,0,68,2642,27,6,7,3,16,24,313,1,2269
2025,CHI,REG,17,334,574,3991,28,7,24,-165,1,1,4944,1874,190,47.8979360402696,-3.42605712830572,1,175,88,60,7,505,2451,19,9,2,142,32.9609733809737,2,67,48,11,0,334,532,3991,28,0,0,4944,1874,190,124.255482392641,1,174,86,60,7,0,615,27,497,66,282,12,35,204,84,23,348,75,2,0,0,0,11,-49,10,-5,0,120,970,52,7,8,0,15,4,21,231,68,1792,33,39,4,2,54,0.846153846153846,0,5,11,13,4,0,0,0,1,1,2,0,42;30;46;43;52;51;47;48;41;38;27;39;24;33;32;39;47;24;36;22;38;54;33;48;47;30;33;41;41;46;51;43;29,50;58;45;35,48;47,1295,188,95,42,42,0,0,1.0,2,2,0,0,38;48,60,0,69,2870,21,10,8,7,9,26,306,0,2424
2025,CIN,REG,17,412,640,4244,36,17,36,-239,2,1,4707,1954,213,13.3479149856479,1.21882745113812,2,173,78,47,5,381,1591,11,4,2,102,7.00936144460725,0,37,27,8,0,412,608,4244,36,6,4,4707,1954,213,67.3313566977751,2,173,78,47,5,1,603,18,582,56,239,11,34,195,79,13,125,76,1,0,0,0,5,0,7,11,0,88,633,68,12,0,0,12,7,23,220,81,2058,25,28,3,0,63,0.892857142857143,0,4,6,10,4,1,0,0,0,0,2,1,35;31;45;26;50;45;49;23;45;36;26;41;33;43;48;54;63;31;42;24;33;52;41;45;57,67;56;54,,1018,177,0,41,44,2,1,0.931818181818182,1,1,0,0,36,65,0,70,3285,28,4,10,11,12,28,277,0,2788
2025,CLE,REG,17,323,558,3152,16,18,51,-345,4,3,3785,1732,134,-164.187321323834,-5.68061035654554,0,123,63,35,7,421,1649,10,1,1,100,-22.1324694032251,1,41,31,6,1,323,522,3152,16,3,2,3785,1732,134,-52.0773589048569,0,123,63,35,7,0,562,41,577,117,486,15,53,377,113,11,292,65,3,5,0,0,7,-1,7,47,1,108,840,63,7,7,0,14,7,32,232,67,1587,24,27,3,0,55,0.888888888888889,0,4,10,5,5,0,0,0,1,1,1,0,45;38;35;55;33;31;31;53;32;30;45;29;30;24;46;53;38;50;24;41;50;33;27;49,36;56;47,,922,139,0,25,26,1,0,0.961538461538461,2,2,0,0,55;49,91,2,67,4165,23,14,8,11,17,41,522,2,3423
2025,DAL,REG,17,419,624,4735,31,12,31,-208,2,1,5069,2101,229,113.933465565182,2.14334390996119,3,191,93,56,12,465,2136,18,9,5,120,-9.32354839500308,0,46,34,13,3,419,607,4735,31,8,3,5069,2099,229,161.14302527427,3,191,93,56,12,1,615,18,552,85,365,11,34,231,108,6,120,42,1,1,1,0,10,-6,6,0,0,133,1136,81,14,6,1,20,9,12,82,82,2097,36,42,6,0,64,0.857142857142857,0,10,5,10,8,3,0,0,0,0,5,1,41;53;51;44;64;46;53;33;22;35;23;28;47;61;29;24;26;50;42;49;36;26;57;42;55;63;29;37;26;41;41;33;42;52;51;22,68;51;51;59;58;57,,1474,344,0,47,48,1,0,0.979166666666667,2,2,0,0,46;42,41,0,65,1994,14,1,1,0,13,26,246,0,1748
2025,DEN,REG,17,388,613,3931,25,11,23,-124,2,1,4488,2093,196,58.8324305761534,-1.32554673577008,4,154,73,47,7,456,2018,18,4,2,111,-9.30563562848271,0,51,36,11,3,388,584,3931,25,1,1,4488,2093,196,111.486896347969,4,154,73,47,7,1,599,15,533,82,418,9,68,424,164,10,168,94,1,3,0,0,3,0,4,0,0,124,1149,76,6,4,1,10,6,34,481,59,1491,28,32,3,1,57,0.875,0,10,11,3,4,0,0,0,0,2,1,0,39;33;42;26;55;36;57;27;39;42;34;32;29;24;38;54;35;33;33;23;54;21;27;30;24;26;41;23,42;59;44,51,977,145,51,39,39,0,0,1.0,3,3,0,0,39;34;35,75,0,76,3573,30,11,3,9,23,29,308,0,3085
