rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons
333,Devontez Walker,WR,115,BAL,25.0,91.6,6.11,-45.0,0,,11,2
334,Darius Cooper,WR,116,PHI,24.0,92.0,6.13,-44.6,0,,6,1
335,Malik Davis,RB,98,DAL,27.0,92.2,6.36,-43.1,0,,11,2
336,Elijah Mitchell,RB,99,KC,,92.2,6.36,-43.1,0,,12,2
337,Brashard Smith,RB,100,KC,23.0,87.1,6.01,-48.2,0,,17,1
338,Miles Sanders,RB,101,DAL,28.0,87.4,6.03,-47.9,0,,31,3
339,Gunnar Helm,TE,46,TEN,23.0,87.8,5.85,-25.8,0,,16,1
340,Kaden Davis,WR,117,CLE,27.0,87.9,5.86,-48.7,0,,2,2
341,Malik Cunningham,WR,118,DET,27.0,87.9,5.86,-48.7,0,,2,2
342,Kevin Austin Jr.,WR,119,NO,26.0,87.9,5.86,-48.7,0,,13,2
343,Calvin Austin III,WR,120,PIT,27.0,88.6,5.91,-48.0,0,,47,3
344,Tre Harris,WR,121,LAC,24.0,88.6,5.91,-48.0,0,,16,1
345,Cam Akers,RB,102,SEA,26.0,88.6,6.11,-46.7,0,,27,3
346,Cole Kmet,TE,47,CHI,27.0,88.6,5.91,-25.0,0,,48,3
347,Adonai Mitchell,WR,122,NYJ,23.0,88.6,5.91,-48.0,0,,33,2
348,Evan Engram,TE,48,DEN,31.0,88.8,5.92,-24.8,0,,42,3
349,Jonnu Smith,TE,49,PIT,30.0,88.8,5.92,-24.8,0,,51,3
350,Josh Palmer,WR,123,BUF,,88.8,5.92,-47.8,0,,37,3
351,Tutu Atwell,WR,124,LA,26.0,88.9,5.93,-47.7,0,,37,3
352,Kyle Williams,WR,125,NE,23.0,89.1,5.94,-47.5,0,,14,1
353,Efton Chism III,WR,126,NE,24.0,83.2,5.55,-53.4,0,,8,1
354,Mitchell Tinsley,WR,127,CIN,,83.4,5.56,-53.2,0,,8,1
355,Konata Mumpfield,WR,128,LA,23.0,83.7,5.58,-52.9,0,,10,1
356,Jalen Tolbert,WR,129,DAL,27.0,84.0,5.6,-52.6,0,,43,3
357,Jaylin Lane,WR,130,WAS,24.0,84.2,5.61,-52.4,0,,15,1
358,Tyrell Shavers,WR,131,BUF,27.0,84.2,5.61,-52.4,0,PUP,12,2
359,Kendrick Bourne,WR,132,SF,31.0,84.3,5.62,-52.3,0,,34,3
360,Greg Dulcich,TE,50,MIA,26.0,84.4,5.63,-29.2,0,,15,3
361,Isaiah Davis,RB,103,NYJ,24.0,84.4,5.82,-50.9,0,Questionable,29,2
362,Nick Chubb,RB,104,HOU,30.0,84.7,5.84,-50.6,0,,25,3
363,Luke McCaffrey,WR,133,WAS,25.0,84.9,5.66,-51.7,0,,22,2
364,Moliki Matavao,TE,51,NO,23.0,84.9,5.66,-28.7,0,,1,1
365,Terrance Ferguson,TE,52,LA,23.0,85.4,5.69,-28.2,0,,11,1
366,Casey Washington,WR,134,ATL,25.0,85.8,5.72,-50.8,0,,7,2
367,Noah Brown,WR,135,WAS,30.0,86.7,5.78,-49.9,0,,25,3
368,Jimmy Horn Jr.,WR,136,CAR,23.0,86.8,5.79,-49.8,0,,10,1
369,John Metchie III,WR,137,NYJ,26.0,79.6,5.31,-57.0,0,,37,3
370,Ty Johnson,RB,105,BUF,28.0,79.9,5.51,-55.4,0,Questionable,43,3
371,Malik Turner,WR,138,SF,30.0,80.1,5.34,-56.5,0,,2,1
372,Olamide Zaccheaus,WR,139,CHI,29.0,80.8,5.39,-55.8,0,,41,3
373,Zavier Scott,RB,106,MIN,27.0,80.8,5.57,-54.5,0,,11,1
374,Jack Bech,WR,140,LV,23.0,80.8,5.39,-55.8,0,,14,1
375,Chris Blair,WR,141,ATL,28.0,81.3,5.42,-55.3,0,,3,2
376,Michael Bandy,WR,142,DEN,28.0,81.3,5.42,-55.3,0,,5,2
377,Clyde Edwards-Helaire,RB,107,KC,26.0,81.8,5.64,-53.5,0,,19,3
378,Drake Dabney,TE,53,GB,24.0,81.9,5.46,-31.7,0,,1,1
379,Tyler Higbee,TE,54,LA,33.0,82.2,5.48,-31.4,0,,28,3
380,Thomas Fidone II,TE,55,NYG,23.0,82.2,5.48,-31.4,0,,1,1
381,Mike Gesicki,TE,56,CIN,30.0,82.2,5.48,-31.4,0,,43,3
382,Kaleb Johnson,RB,108,PIT,23.0,82.4,5.68,-52.9,0,,10,1
383,Mack Hollins,WR,143,NE,32.0,82.5,5.5,-54.1,0,,43,3
384,Elijah Moore,WR,144,BUF,26.0,82.6,5.51,-54.0,0,Questionable,42,3
385,DeAndre Hopkins,WR,145,BAL,33.0,76.1,5.07,-60.5,0,,50,3
386,Michael Mayer,TE,57,LV,25.0,76.4,5.09,-37.2,0,,37,3
387,Albert Okwuegbunam,TE,58,LV,28.0,76.5,5.1,-37.1,0,,2,2
388,Roschon Johnson,RB,109,CHI,25.0,76.8,5.3,-58.5,0,,34,3
389,Demarcus Robinson,WR,146,SF,31.0,76.8,5.12,-59.8,0,,39,3
390,Greg Dortch,WR,147,ARI,28.0,77.1,5.14,-59.5,0,,45,3
391,Keleki Latu,TE,59,BUF,24.0,77.2,5.15,-36.4,0,,3,1
392,Dawson Knox,TE,60,BUF,29.0,77.7,5.18,-35.9,0,,40,3
393,Noah Fant,TE,61,CIN,28.0,78.0,5.2,-35.6,0,,42,3
394,Hayden Rucci,TE,62,MIA,25.0,78.0,5.2,-35.6,0,,1,1
395,Tyler Johnson,WR,148,NYJ,27.0,78.3,5.22,-58.3,0,,21,3
396,Myles Gaskin,RB,110,SEA,28.0,78.6,5.42,-56.7,0,,5,2
397,Dylan Drummond,WR,149,ATL,26.0,78.6,5.24,-58.0,0,,6,1
398,Dont'e Thornton Jr.,WR,150,LV,23.0,78.8,5.25,-57.8,0,Questionable,11,1
399,KaVontae Turpin,WR,151,DAL,30.0,79.2,5.28,-57.4,0,,48,3
400,Emari Demercado,RB,111,ARI,27.0,79.6,5.49,-55.7,0,,36,3
401,Curtis Samuel,WR,152,BUF,29.0,72.9,4.86,-63.7,0,,36,3
402,Brandin Cooks,WR,153,BUF,32.0,72.9,4.86,-63.7,0,,39,3
403,Zamir White,RB,112,LV,26.0,73.1,5.04,-62.2,0,,26,3
404,Josh Reynolds,WR,154,NYJ,31.0,73.4,4.89,-63.2,0,,29,3
405,Xavier Weaver,WR,155,ARI,25.0,73.4,4.89,-63.2,0,Questionable,9,2
406,Jordan Mims,RB,113,TEN,27.0,73.4,5.06,-61.9,0,,11,3
407,Savion Williams,WR,156,GB,24.0,73.5,4.9,-63.1,0,,12,1
408,Ja'Tavion Sanders,TE,63,CAR,23.0,73.6,4.91,-40.0,0,,27,2
409,Darnell Washington,TE,64,PIT,25.0,73.6,4.91,-40.0,0,,34,3
410,LeQuint Allen Jr.,RB,114,JAX,22.0,73.7,5.08,-61.6,0,Questionable,16,1
411,British Brooks,RB,115,HOU,26.0,74.4,5.13,-60.9,0,Questionable,10,2
412,Xavier Hutchinson,WR,157,HOU,26.0,74.4,4.96,-62.2,0,,42,3
413,Allen Lazard,WR,158,NYJ,30.0,74.7,4.98,-61.9,0,,35,3
414,KeAndre Lambert-Smith,WR,159,LAC,24.0,74.7,4.98,-61.9,0,,10,1
415,Dameon Pierce,RB,116,KC,26.0,75.5,5.21,-59.8,0,Questionable,29,3
416,George Holani,RB,117,SEA,26.0,75.8,5.23,-59.5,0,,13,2
417,Isaiah Williams,WR,160,NYJ,25.0,70.6,4.71,-66.0,0,,23,2
418,David Sills,WR,161,ATL,30.0,70.8,4.72,-65.8,0,,12,1
419,Adam Thielen,WR,162,PIT,35.0,70.8,4.72,-65.8,0,NA,41,3
420,Lil'Jordan Humphrey,WR,163,DEN,28.0,70.8,4.72,-65.8,0,,32,3
421,AJ Dillon,RB,118,PHI,28.0,71.2,4.91,-64.1,0,,21,2
422,Gary Brightwell,RB,119,CIN,28.0,71.2,4.91,-64.1,0,,7,3
423,Ray-Ray McCloud,WR,164,NYG,29.0,71.4,4.76,-65.2,0,,35,3
424,Tahj Brooks,RB,120,CIN,24.0,71.6,4.94,-63.7,0,,12,1
425,Isaiah Hodgins,WR,165,NYG,27.0,71.7,4.78,-64.9,0,,22,3
426,Cody White,WR,166,SEA,27.0,71.8,4.79,-64.8,0,,10,2
427,Isaac Guerendo,RB,121,SF,26.0,72.4,4.99,-62.9,0,PUP,23,2
428,Travis Vokolek,TE,65,ARI,27.0,72.4,4.83,-41.2,0,,1,1
429,Taysom Hill,TE,66,NO,35.0,72.6,4.84,-41.0,0,,37,3
430,Zay Jones,WR,167,ARI,30.0,72.8,4.85,-63.8,0,,21,3
431,Hunter Renfrow,WR,168,CAR,30.0,72.8,4.85,-63.8,0,,20,2
432,Jackson Hawes,TE,67,BUF,25.0,72.9,4.86,-40.7,0,,13,1
433,James Mitchell,TE,68,CAR,27.0,68.1,4.54,-45.5,0,,4,2
434,Jakob Johnson,RB,122,HOU,,68.2,4.7,-67.1,0,,11,3
435,Nick Westbrook-Ikhine,WR,169,MIA,29.0,68.2,4.55,-68.4,0,,40,3
436,Jelani Woods,TE,69,NYJ,27.0,68.2,4.55,-45.4,0,,2,1
437,E.J. Jenkins,TE,70,PHI,27.0,68.4,4.56,-45.2,0,,3,2
438,Carter Runyon,TE,71,LV,25.0,68.6,4.57,-45.0,0,,3,1
439,Jacob Saylors,RB,123,DET,25.0,68.6,4.73,-66.7,0,Questionable,11,1
440,Devin Culp,TE,72,TB,26.0,68.7,4.58,-44.9,0,,6,2
441,Sterling Shepard,WR,170,TB,33.0,69.0,4.6,-67.6,0,,36,3
442,Jason Brownlee,WR,171,KC,27.0,69.2,4.61,-67.4,0,,7,2
443,Mitchell Evans,TE,73,CAR,23.0,69.3,4.62,-44.3,0,,14,1
444,Dyami Brown,WR,172,JAX,26.0,69.6,4.64,-67.0,0,,42,3
445,Andre Baccellia,WR,173,ARI,29.0,69.9,4.66,-66.7,0,Questionable,5,2
446,Tyler Conklin,TE,74,LAC,31.0,70.0,4.67,-43.6,0,,39,3
447,Jared Wiley,TE,75,KC,25.0,70.0,4.67,-43.6,0,,3,2
448,Malachi Corley,WR,174,CLE,24.0,70.2,4.68,-66.4,0,,17,2
449,Kalif Raymond,WR,175,DET,32.0,65.6,4.37,-71.0,0,,44,3
450,Sal Cannella,TE,76,CLE,29.0,65.6,4.37,-48.0,0,,2,1
451,Zaire Mitchell-Paden,TE,77,NO,27.0,65.8,4.39,-47.8,0,,3,1
452,Samaje Perine,RB,124,CIN,30.0,66.0,4.55,-69.3,0,,49,3
453,Josh Oliver,TE,78,MIN,29.0,66.3,4.42,-47.3,0,,37,3
454,Daniel Bellinger,TE,79,NYG,25.0,66.6,4.44,-47.0,0,,39,3
455,Malik Heath,WR,176,GB,25.0,66.6,4.44,-70.0,0,,24,3
456,Ronnie Bell,WR,177,NO,26.0,66.6,4.44,-70.0,0,,19,3
457,Shane Zylstra,TE,80,DET,29.0,66.6,4.44,-47.0,0,,3,2
458,JuJu Smith-Schuster,WR,178,KC,29.0,67.0,4.47,-69.6,0,Questionable,39,3
459,Jahan Dotson,WR,179,PHI,26.0,67.0,4.47,-69.6,0,,46,3
460,Trey Sermon,RB,125,PIT,,67.1,4.63,-68.2,0,,26,3
461,Treylon Burks,WR,180,WAS,26.0,67.2,4.48,-69.4,0,,22,3
462,Tommy Tremble,TE,81,CAR,26.0,67.4,4.49,-46.2,0,,40,3
463,Tyler Lockett,WR,181,LV,33.0,67.6,4.51,-69.0,0,,51,3
464,Bryce Oliver,WR,182,TEN,26.0,68.0,4.53,-68.6,0,,10,2
465,Tyler Badie,RB,126,DEN,26.0,63.7,4.39,-71.6,0,,19,2
466,Marquez Valdes-Scantling,WR,183,PIT,31.0,63.8,4.25,-72.8,0,,38,3
467,Tai Felton,WR,184,MIN,23.0,63.9,4.26,-72.7,0,,12,1
468,David Moore,WR,185,CAR,31.0,63.9,4.26,-72.7,0,,24,3
469,Arian Smith,WR,186,NYJ,24.0,63.9,4.26,-72.7,0,,13,1
470,Robbie Chosen,WR,187,WAS,32.0,64.0,4.27,-72.6,0,,10,3
471,Austin Hooper,TE,82,NE,31.0,64.0,4.27,-49.6,0,,46,3
472,Elijah Arroyo,TE,83,SEA,23.0,64.0,4.27,-49.6,0,,13,1
473,Princeton Fant,TE,84,DAL,,64.6,4.31,-49.0,0,,2,2
474,Nikola Kalinic,TE,85,CHI,,64.6,4.31,-49.0,0,,2,1
475,Samori Toure,WR,188,NO,28.0,65.0,4.33,-71.6,0,,9,2
476,Trevor Etienne,RB,127,CAR,22.0,65.0,4.48,-70.3,0,,17,1
477,Tim Patrick,WR,189,JAX,32.0,65.1,4.34,-71.5,0,,28,2
478,Mason Tipton,WR,190,NO,25.0,65.1,4.34,-71.5,0,PUP,17,2
479,Khalil Herbert,RB,128,NYJ,28.0,65.4,4.51,-69.9,0,,28,3
480,Van Jefferson,WR,191,TEN,30.0,65.6,4.37,-71.0,0,,43,3
481,Jeremy McNichols,RB,129,WAS,30.0,60.5,4.17,-74.8,0,Questionable,33,3
482,Will Dissly,TE,86,LAC,29.0,60.6,4.04,-53.0,0,Questionable,36,3
483,Rasheen Ali,RB,130,BAL,25.0,60.8,4.19,-74.5,0,Questionable,20,2
484,Tanner Hudson,TE,87,CIN,31.0,60.8,4.05,-52.8,0,,31,3
485,Ben Yurosek,TE,88,MIN,24.0,60.9,4.06,-52.7,0,,6,1
486,Ryan Miller,WR,192,TB,26.0,61.4,4.09,-75.2,0,,18,2
487,Jamari Thrash,WR,193,CLE,,61.5,4.1,-75.1,0,,14,2
488,Ben Sinnott,TE,89,WAS,24.0,61.6,4.11,-52.0,0,,16,2
489,Ty Chandler,RB,131,MIN,28.0,61.8,4.26,-73.5,0,,33,3
490,Jordan Whittington,WR,194,LA,25.0,62.0,4.13,-74.6,0,,29,2
491,Noah Gray,TE,90,KC,27.0,62.4,4.16,-51.2,0,,46,3
492,Davis Allen,TE,91,LA,25.0,63.0,4.2,-50.6,0,Questionable,29,3
493,Luke Musgrave,TE,92,GB,25.0,63.3,4.22,-50.3,0,PUP,31,3
494,Nick Kallerup,TE,93,SEA,25.0,63.4,4.23,-50.2,0,,4,1
495,Justin Watson,WR,195,HOU,30.0,63.4,4.23,-73.2,0,,33,3
496,River Cracraft,WR,196,WAS,,63.6,4.24,-73.0,0,,13,3
497,Chris Brooks,RB,132,GB,26.0,57.7,3.98,-77.6,0,,31,3
498,Tom Kennedy,WR,197,DET,30.0,58.2,3.88,-78.4,0,,9,2
499,Brycen Tremayne,WR,198,CAR,26.0,58.2,3.88,-78.4,0,,17,2
500,Cam Grandy,TE,94,CIN,26.0,59.0,3.93,-54.6,0,,6,2
501,Dante Pettis,WR,199,NO,30.0,59.1,3.94,-77.5,0,,16,2
502,Foster Moreau,TE,95,NO,29.0,59.1,3.94,-54.5,0,,36,3
503,Jalen Brooks,WR,200,ARI,26.0,59.1,3.94,-77.5,0,,20,3
504,Raheem Mostert,RB,133,LV,33.0,59.2,4.08,-76.1,0,Questionable,40,3
505,Scott Miller,WR,201,PIT,,59.2,3.95,-77.4,0,,22,3
506,Ke'Shawn Williams,WR,202,CIN,24.0,59.4,3.96,-77.2,0,,11,1
507,Teagan Quitoriano,TE,96,ATL,26.0,59.4,3.96,-54.2,0,,5,2
508,Anthony Firkser,TE,97,DET,,59.7,3.98,-53.9,0,,6,2
509,Gage Larvadain,WR,203,CLE,24.0,59.8,3.99,-76.8,0,,13,1
510,Brock Wright,TE,98,DET,27.0,60.2,4.01,-53.4,0,,28,3
511,Parris Campbell,WR,204,DAL,28.0,60.3,4.02,-76.3,0,NA,15,3
512,Chris Moore,WR,205,WAS,33.0,60.4,4.03,-76.2,0,,25,2
513,Cedrick Wilson Jr.,WR,206,MIA,30.0,54.4,3.63,-82.2,0,,30,3
514,Grant Calcaterra,TE,99,PHI,27.0,54.4,3.63,-59.2,0,Questionable,27,3
515,Will Shipley,RB,134,PHI,23.0,54.5,3.76,-80.8,0,,27,2
516,Jalin Hyatt,WR,207,NYG,24.0,55.2,3.68,-81.4,0,Questionable,29,3
517,Hunter Luepke,RB,135,DAL,,55.2,3.81,-80.1,0,,38,3
518,Patrick Ricard,RB,136,BAL,,55.4,3.82,-79.9,0,,21,3
519,Josh Whyle,TE,100,GB,26.0,55.8,3.72,-57.8,0,,30,3
520,Hunter Long,TE,101,JAX,28.0,56.1,3.74,-57.5,0,,19,3
521,Sione Vaki,RB,137,DET,25.0,56.6,3.9,-78.7,0,,17,2
522,Elijah Higgins,TE,102,ARI,25.0,56.6,3.77,-57.0,0,Questionable,43,3
523,Justin Shorter,TE,103,LV,,56.7,3.78,-56.9,0,,4,2
524,Giovanni Ricci,TE,104,DET,,56.8,3.79,-56.8,0,,4,2
525,Hassan Haskins,RB,138,LAC,26.0,57.3,3.95,-78.0,0,,23,2
526,Ronnie Rivers,RB,139,LA,27.0,57.3,3.95,-78.0,0,,21,3
527,DJ Turner,WR,208,LV,29.0,57.3,3.82,-79.3,0,Questionable,20,3
528,Brenden Bates,TE,105,CLE,,57.3,3.82,-56.3,0,,6,2
529,Adam Trautman,TE,106,DEN,29.0,50.7,3.38,-62.9,0,,42,3
530,Lucas Krull,TE,107,DEN,28.0,50.8,3.39,-62.8,0,,19,3
531,Simi Fehoko,WR,209,ARI,28.0,51.0,3.4,-85.6,0,,15,3
532,LaJohntay Wester,WR,210,BAL,24.0,51.2,3.41,-85.4,0,,14,1
533,Kameron Johnson,WR,211,TB,24.0,51.3,3.42,-85.3,0,,21,2
534,Mecole Hardman,WR,212,BUF,28.0,51.4,3.43,-85.2,0,,21,3
535,Laquon Treadwell,WR,213,IND,31.0,52.0,3.47,-84.6,0,,9,2
536,Xavier Smith,WR,214,LA,28.0,52.2,3.48,-84.4,0,,30,2
537,Chase Edmonds,RB,140,WAS,29.0,52.8,3.64,-82.5,0,,16,2
538,Jonathan Mingo,WR,215,DAL,25.0,53.2,3.55,-83.4,0,,34,3
539,Ben Sims,TE,108,MIN,26.0,53.2,3.55,-60.4,0,Questionable,13,3
540,Kene Nwangwu,RB,141,NYJ,28.0,53.6,3.7,-81.7,0,,20,3
541,John FitzPatrick,TE,109,GB,25.0,53.8,3.59,-59.8,0,Questionable,15,3
542,Cade Stover,TE,110,HOU,26.0,53.8,3.59,-59.8,0,,20,2
543,Tyler Goodson,RB,142,IND,25.0,54.1,3.73,-81.2,0,,30,3
544,Tip Reiman,TE,111,ARI,24.0,54.2,3.61,-59.4,0,PUP,11,2
545,Trayveon Williams,RB,143,CLE,28.0,46.4,3.2,-88.9,0,,27,3
546,Ameer Abdullah,RB,144,IND,33.0,46.5,3.21,-88.8,0,,44,3
547,Eric Gray,RB,145,NYG,26.0,46.8,3.23,-88.5,0,,25,3
548,Tim Jones,WR,216,JAX,28.0,46.9,3.13,-89.7,0,,20,3
549,Ashton Dulin,WR,217,IND,29.0,47.1,3.14,-89.5,0,,25,2
550,Jake Bobo,WR,218,SEA,28.0,47.4,3.16,-89.2,0,,31,3
551,Will Mallory,TE,112,IND,27.0,47.6,3.17,-66.0,0,,19,3
552,Jeremy Ruckert,TE,113,NYJ,26.0,48.0,3.2,-65.6,0,,38,3
553,Mason Kinsey,WR,219,TEN,27.0,48.2,3.21,-88.4,0,,18,3
554,Tylan Wallace,WR,220,BAL,27.0,48.3,3.22,-88.3,0,,29,3
555,Gunner Olszewski,WR,221,NYG,,48.4,3.23,-88.2,0,,28,2
556,Dareke Young,WR,222,SEA,27.0,48.8,3.25,-87.8,0,,16,3
557,Stone Smartt,TE,114,NYJ,27.0,49.4,3.29,-64.2,0,,27,3
558,Tanner Conner,TE,115,MIA,28.0,49.8,3.32,-63.8,0,,12,2
559,Nate Adkins,TE,116,DEN,27.0,50.1,3.34,-63.5,0,,26,3
560,Charlie Kolar,TE,117,BAL,27.0,50.2,3.35,-63.4,0,,32,3
561,Austin Trammell,WR,223,JAX,28.0,42.9,2.86,-93.7,0,,22,3
562,Payne Durham,TE,118,TB,26.0,42.9,2.86,-70.7,0,,22,3
563,Skyy Moore,WR,224,SF,25.0,42.9,2.86,-93.7,0,,33,3
564,Ian Thomas,TE,119,LV,30.0,43.2,2.88,-70.4,0,,20,3
565,Steven Sims,WR,225,ARI,28.0,43.4,2.89,-93.2,0,,15,3
566,Myles Price,WR,226,MIN,24.0,44.0,2.93,-92.6,0,,16,1
567,Dee Eskridge,WR,227,MIA,28.0,44.0,2.93,-92.6,0,,20,3
568,Julius Chestnut,RB,146,TEN,25.0,44.1,3.04,-91.2,0,,29,3
569,Nikko Remigio,WR,228,KC,26.0,44.2,2.95,-92.4,0,,19,2
570,Cameron Latu,TE,120,PHI,26.0,44.6,2.97,-69.0,0,,10,1
571,David Martin-Robinson,TE,121,TEN,26.0,44.8,2.99,-68.8,0,,15,2
572,Tucker Fisk,TE,122,LAC,27.0,45.2,3.01,-68.4,0,,13,3
573,Luke Schoonmaker,TE,123,DAL,27.0,45.3,3.02,-68.3,0,,38,3
574,Anthony Gould,WR,229,IND,25.0,45.4,3.03,-91.2,0,Questionable,19,2
575,Braxton Berrios,WR,230,HOU,30.0,45.6,3.04,-91.0,0,,26,3
576,Avery Williams,RB,147,NYJ,27.0,46.1,3.18,-89.2,0,,18,2
577,Britain Covey,WR,231,PHI,29.0,35.6,2.37,-101.0,0,Questionable,26,3
578,Geno Smith,QB,77,LV,35.0,160.0,10.32,-96.2,0,,47,3
579,Brady Cook,QB,78,NYJ,24.0,161.5,10.42,-94.7,0,,5,1
580,Dillon Gabriel,QB,79,CLE,25.0,164.0,10.58,-92.2,0,,10,1
581,Cam Ward,QB,80,TEN,24.0,166.5,10.74,-89.7,0,,17,1
582,Jake Browning,QB,81,CIN,30.0,166.9,10.77,-89.3,0,,16,3
583,DeAndre Carter,WR,232,CLE,32.0,26.1,1.74,-110.5,0,,34,3
584,Devin Duvernay,WR,233,CHI,28.0,27.0,1.8,-109.6,0,,43,3
585,Marcedes Lewis,TE,124,DEN,41.0,28.5,1.9,-85.1,0,,12,3
586,Feleipe Franks,TE,125,ATL,28.0,30.4,2.03,-83.2,0,,19,2
587,Pharaoh Brown,TE,126,ARI,32.0,30.6,2.04,-83.0,0,,26,3
588,Chris Manhertz,TE,127,NYG,34.0,30.7,2.05,-82.9,0,,19,3
589,Durham Smythe,TE,128,CHI,31.0,32.4,2.16,-81.2,0,,34,3
590,Dare Ogunbowale,RB,148,HOU,32.0,32.6,2.25,-102.7,0,,39,3
591,Xavier Gipson,WR,234,PHI,25.0,32.6,2.17,-104.0,0,,40,3
592,Ben Skowronek,WR,235,PIT,29.0,34.6,2.31,-102.0,0,,38,3
593,Jamal Agnew,WR,236,ATL,30.0,34.8,2.32,-101.8,0,Questionable,22,2
594,Colson Yankoff,TE,129,WAS,26.0,40.0,2.67,-73.6,0,,14,2
595,Blake Whiteheart,TE,130,CLE,26.0,40.4,2.69,-73.2,0,,16,2
596,Jack Stoll,TE,131,NO,,40.6,2.71,-73.0,0,,20,3
597,D'Ernest Johnson,RB,149,NE,30.0,40.7,2.81,-94.6,0,,33,3
598,Brayden Willis,TE,132,SF,26.0,40.8,2.72,-72.8,0,,12,3
599,Trent Sherfield,WR,237,ARI,30.0,41.2,2.75,-95.4,0,,28,3
600,Mo Alie-Cox,TE,133,IND,32.0,41.7,2.78,-71.9,0,,37,3
601,Quintin Morris,TE,134,JAX,27.0,41.8,2.79,-71.8,0,,23,3
602,Ross Dwelley,TE,135,DET,30.0,41.8,2.79,-71.8,0,,10,3
603,Craig Reynolds,RB,150,DET,30.0,42.0,2.9,-93.3,0,,25,3
604,Alex Bachman,WR,238,LV,30.0,42.3,2.82,-94.3,0,,16,2
605,Dylan Laube,RB,151,LV,26.0,42.3,2.92,-93.0,0,,23,2
606,Velus Jones Jr.,WR,239,SEA,29.0,42.4,2.83,-94.2,0,,20,3
607,Deven Thompkins,WR,240,ATL,26.0,42.6,2.84,-94.0,0,,29,3
608,Drew Sample,TE,136,CIN,30.0,42.9,2.86,-70.7,0,,37,3
