rank,name,position,pos_rank,team,age,proj_points,proj_ppg,vorp,value,injury_status,games_total,seasons
595,Tyrod Taylor,QB,72,NYJ,37.0,189.3,12.21,-146.3,0,,18,3
596,Brandon Allen,QB,73,TEN,33.0,189.3,12.21,-146.3,0,,4,2
597,Teddy Bridgewater,QB,74,TB,33.0,189.6,12.23,-146.0,0,NA,4,2
598,Gardner Minshew,QB,75,KC,30.0,157.2,10.14,-178.4,0,,30,3
599,Mitchell Trubisky,QB,76,BUF,32.0,175.3,11.31,-160.3,0,Questionable,17,3
600,Josh Johnson,QB,77,WAS,40.0,175.6,11.33,-160.0,0,,7,2
601,Drew Lock,QB,78,SEA,29.0,179.5,11.58,-156.1,0,,14,3
602,Tyson Bagent,QB,79,CHI,26.0,180.4,11.64,-155.2,0,Questionable,11,3
603,Max Brosmer,QB,80,MIN,25.0,165.8,10.7,-169.8,0,,7,1
604,Jimmy Garoppolo,QB,81,LA,34.0,167.6,10.81,-168.0,0,,11,3
605,Marcedes Lewis,TE,133,DEN,41.0,31.4,2.09,-96.1,0,,12,3
606,Pharaoh Brown,TE,134,ARI,32.0,32.8,2.19,-94.7,0,,26,3
607,Chris Manhertz,TE,135,NYG,34.0,33.4,2.23,-94.1,0,,19,3
608,Xavier Gipson,WR,241,PHI,25.0,34.4,2.29,-124.9,0,,40,3
609,Feleipe Franks,TE,136,ATL,28.0,35.2,2.35,-92.3,0,,19,2
610,Durham Smythe,TE,137,CHI,31.0,35.2,2.35,-92.3,0,,34,3
