key,name,position,team,adp,raw_200,aav_200,market,source,status,out
harrison mevis,Harrison Mevis,PK,LAR,150.4,1.9874999999999998,1.5188781508568843,2,curve,,False
cam little,Cam Little,PK,JAX,151.1,1.9656250000000002,1.5056844130230607,2,curve,,False
jordyn tyson,Jordyn Tyson,WR,NO,151.2,1.9625000000000004,1.5038032219508621,2,curve,,False
jordan love,Jordan Love,QB,GB,151.5,1.953125,1.4981651467151849,2,curve,,False
dalton kincaid,Dalton Kincaid,TE,BUF,151.5,1.953125,1.4981651467151849,2,curve,,False
mike washington,Mike Washington Jr.,RB,LV,151.5,1.953125,1.4981651467151849,2,curve,,False
chase mclaughlin,Chase McLaughlin,PK,TB,151.7,1.9468750000000004,1.4944110370585444,2,curve,,False
alvin kamara,Alvin Kamara,RB,NO,152.3,1.9281249999999996,1.4831710511763165,2,curve,,False
tank dell,Tank Dell,WR,HOU,152.9,1.9093749999999998,1.4719650280956635,2,curve,,False
kaelon black,Kaelon Black,RB,SF,153.8,1.8812499999999996,1.4552209805670315,2,curve,,False
cyrus allen,Cyrus Allen,WR,KC,154.0,1.875,1.451510850428089,2,curve,,False
tyler allgeier,Tyler Allgeier,RB,ARI,154.5,1.859375,1.4422529355529847,2,curve,,False
isiah pacheco,Isiah Pacheco,RB,DET,154.9,1.8468749999999998,1.4348647143667288,2,curve,,False
tank bigsby,Tank Bigsby,RB,PHI,155.2,1.8375000000000004,1.4293342451886124,2,curve,,False
cooper kupp,Cooper Kupp,WR,SEA,155.5,1.828125,1.4238130414355614,2,curve,,False
chris rodriguez,Chris Rodriguez Jr.,RB,JAX,157.6,1.7625000000000002,1.3854317779375718,1,curve,,False
keaton mitchell,Keaton Mitchell,RB,LAC,158.3,1.7406249999999996,1.3727455912111666,1,curve,,False
blake grupe,Blake Grupe,PK,IND,159.9,1.6906249999999998,1.343961246622642,1,curve,,False
wil lutz,Wil Lutz,PK,DEN,160.1,1.6843750000000002,1.3403846561179455,1,curve,,False
adonai mitchell,Adonai Mitchell,WR,NYJ,161.3,1.6468749999999996,1.3190291493764315,1,curve,,False
jacksonville defense,Jacksonville Defense,DEF,JAX,161.4,1.6437499999999998,1.317257736329543,1,curve,,False
ryan flournoy,Ryan Flournoy,WR,DAL,162.2,1.6187500000000004,1.3031332388510335,1,curve,,False
buffalo defense,Buffalo Defense,DEF,BUF,162.6,1.6062500000000002,1.2961027719743283,1,curve,,False
cleveland defense,Cleveland Defense,DEF,CLE,162.8,1.5999999999999996,1.2925956449227494,1,curve,,False
hunter henry,Hunter Henry,TE,NE,162.8,1.5999999999999996,1.2925956449227494,1,curve,,False
cj stroud,C.J. Stroud,QB,HOU,162.8,1.5999999999999996,1.2925956449227494,1,curve,,False
juwan johnson,Juwan Johnson,TE,NO,163.4,1.5812499999999998,1.2821072677835024,1,curve,,False
travis hunter,Travis Hunter,WR,JAX,163.5,1.578125,1.280364083304158,1,curve,,False
malik willis,Malik Willis,QB,MIA,163.7,1.5718750000000004,1.276881953309569,1,curve,,False
eddy piñeiro,Eddy Piñeiro,PK,SF,163.9,1.5656249999999998,1.2734055190401299,1,curve,,False
tyrone tracy,Tyrone Tracy Jr.,RB,NYG,164.1,1.5593750000000002,1.2699348339629473,1,curve,,False
cam ward,Cam Ward,QB,TEN,164.2,1.5562500000000004,1.2682016643809617,1,curve,,False
darius slayton,Darius Slayton,WR,NYG,164.9,1.5343749999999998,1.2561106943323832,1,curve,,False
marshawn lloyd,MarShawn Lloyd,RB,GB,164.9,1.5343749999999998,1.2561106943323832,1,curve,,False
kayshon boutte,Kayshon Boutte,WR,HOU,165.6,1.5125000000000002,1.2440936536162197,1,curve,,False
harrison butker,Harrison Butker,PK,KC,166.0,1.5,1.2372609869997044,1,curve,,False
will reichard,Will Reichard,PK,MIN,166.1,1.4968750000000002,1.235556789800547,1,curve,,False
jonah coleman,Jonah Coleman,RB,DEN,166.1,1.4968750000000002,1.235556789800547,1,curve,,False
daniel jones,Daniel Jones,QB,IND,166.2,1.4937500000000004,1.2338541972996888,1,curve,,False
brian robinson,Brian Robinson,RB,ATL,166.2,1.4937500000000004,1.2338541972996888,1,curve,,False
jakobi lane,Ja'Kobi Lane,WR,BAL,167.1,1.4656250000000002,1.2186045347710432,1,curve,,False
baltimore defense,Baltimore Defense,DEF,BAL,167.7,1.4468750000000004,1.20851399676668,1,curve,,False
devaughn vele,Devaughn Vele,WR,NO,167.9,1.4406249999999998,1.2051644241112833,1,curve,,False
tj hockenson,T.J. Hockenson,TE,MIN,169.5,1.390625,1.178631383050981,1,curve,,False
brenton strange,Brenton Strange,TE,JAX,170.1,1.3718750000000002,1.1688086952566457,1,curve,,False
pat bryant,Pat Bryant,WR,DEN,170.5,1.359375,1.1623011117761735,1,curve,,False
braelon allen,Braelon Allen,RB,NYJ,170.9,1.3468749999999998,1.1558273506987913,1,curve,,False
dallas defense,Dallas Defense,DEF,DAL,170.9,1.3468749999999998,1.1558273506987913,1,curve,,False
new orleans defense,New Orleans Defense,DEF,NO,171.3,1.3343749999999996,1.1493884459333743,1,curve,,False
justice hill,Justice Hill,RB,BAL,171.4,1.3312499999999998,1.1477842938887806,1,curve,,False
chicago defense,Chicago Defense,DEF,CHI,172.2,1.3062500000000004,1.135034207550928,1,curve,,False
cairo santos,Cairo Santos,PK,CHI,172.7,1.2906250000000004,1.1271434701017418,1,curve,,False
dylan sampson,Dylan Sampson,RB,CLE,172.9,1.2843749999999998,1.1240047402020765,1,curve,,False
isaac teslaa,Isaac TeSlaa,WR,DET,173.8,1.2562499999999996,1.1100110408158494,1,curve,,False
tennessee defense,Tennessee Defense,DEF,TEN,173.9,1.2531249999999998,1.1084699032855856,1,curve,,False
dalton schultz,Dalton Schultz,TE,HOU,174.1,1.2468750000000002,1.1053962004458453,1,curve,,False
chris boswell,Chris Boswell,PK,PIT,174.9,1.2218749999999998,1.0932203656675195,1,curve,,False
kenyon sadiq,Kenyon Sadiq,TE,NYJ,175.7,1.1968750000000004,1.0812486997047985,1,curve,,False
tre harris,Tre' Harris,WR,LAC,175.8,1.1937499999999996,1.0797676346645115,1,curve,,False
trey smack,Trey Smack,PK,GB,176.0,1.1875,1.076816276176718,1,curve,,False
andy borregales,Andy Borregales,PK,NE,177.5,1.140625,1.055182374187169,1,curve,,False
dontayvion wicks,Dontayvion Wicks,WR,PHI,179.6,1.0750000000000002,1.026785959902246,1,curve,,False
evan mcpherson,Evan McPherson,PK,CIN,181.1,1.0281250000000002,1.0086722967797146,1,curve,,False
caleb douglas,Caleb Douglas,WR,MIA,181.2,1.0250000000000004,1.0075739015177034,1,curve,,False
cincinnati defense,Cincinnati Defense,DEF,CIN,183.0,1.0,1.0,1,curve,,False
atlanta defense,Atlanta Defense,DEF,ATL,184.2,1.0,1.0,1,curve,,False
troy franklin,Troy Franklin,WR,DEN,185.5,1.0,1.0,1,curve,,False
germie bernard,Germie Bernard,WR,PIT,192.8,1.0,1.0,1,curve,,False
