team,player,pos,paid,value,pts,inj,edge
Ultimate Warnior,Mike Evans,WR,6,1,157.8,Questionable,-5
teeeejayyyy,Jayden Daniels,QB,11,24,366.7,,13
jnozilla,Rhamondre Stevenson,RB,6,9,189.1,,3
Ultimate Warnior,Blake Corum,RB,4,0,151.8,,-4
Ultimate Warnior,Christian Watson,WR,7,1,157.5,,-6
teeeejayyyy,Kyle Monangai,RB,7,10,191.4,Questionable,3
Ultimate Warnior,Jason Myers,K,2,0,0.0,,-2
DJNVRealty,New England Patriots,DEF,1,0,0.0,,-1
jnozilla,Kyle Pitts,TE,8,23,157.5,,15
JBonez86,DK Metcalf,WR,13,11,170.1,Questionable,-2
JBonez86,Chuba Hubbard,RB,7,15,197.5,Questionable,8
Zvernal,Brian Thomas,WR,5,29,200.9,Questionable,24
dwarner827,Makai Lemon,WR,5,0,0.0,,-5
gaytonmanning,Dalton Kincaid,TE,3,10,137.0,,7
EasyE12345,Rico Dowdle,RB,7,17,201.3,,10
VALERIAN,Michael Pittman,WR,2,1,156.0,Questionable,-1
Markinsoles,Courtland Sutton,WR,3,10,168.0,,7
Ultimate Warnior,Harold Fannin,TE,4,21,153.3,,17
Zvernal,J.K. Dobbins,RB,4,30,223.9,,26
teeeejayyyy,Ka'imi Fairbairn,K,2,0,0.0,,-2
jnozilla,Michael Wilson,WR,4,5,162.8,,1
jnozilla,Trevor Lawrence,QB,6,22,363.8,,16
VALERIAN,Cam Little,K,2,0,0.0,,-2
jnozilla,Quentin Johnston,WR,3,17,179.4,Questionable,14
teeeejayyyy,Houston Texans,DEF,5,0,0.0,,-5
Ultimate Warnior,Bo Nix,QB,4,36,390.3,,32
VALERIAN,Chris Rodriguez,RB,2,1,158.8,,-1
teeeejayyyy,KC Concepcion,WR,2,0,0.0,,-2
Markinsoles,Tyler Allgeier,RB,1,1,159.2,,0
Zvernal,Aaron Jones,RB,2,0,151.2,,-2
Markinsoles,Jordyn Tyson,WR,2,0,0.0,Doubtful,-2
gaytonmanning,Tyler Loop,K,2,0,0.0,,-2
VALERIAN,Brock Purdy,QB,3,40,398.5,,37
Zvernal,Kyler Murray,QB,1,1,317.8,,0
EasyE12345,Seattle Seahawks,DEF,1,0,0.0,,-1
jnozilla,Patrick Mahomes,QB,1,24,367.2,Questionable,23
teeeejayyyy,Jonah Coleman,RB,3,0,0.0,,-3
Ultimate Warnior,Matthew Golden,WR,1,0,111.8,,-1
gaytonmanning,Rachaad White,RB,1,1,181.4,Questionable,0
olavegardner,Jordan Love,QB,1,1,335.6,,0
Markinsoles,Josh Downs,WR,2,1,148.0,Questionable,-1
Zvernal,Jacory Croskey-Merritt,RB,2,1,181.7,Questionable,-1
JBonez86,Chris Godwin,WR,1,1,150.4,,0
DJNVRealty,Jake Bates,K,1,0,0.0,,-1
VALERIAN,Stefon Diggs,WR,1,1,151.6,,0
Zvernal,Isaiah Likely,TE,1,0,95.6,,-1
EasyE12345,Jordan Addison,WR,1,20,184.4,,19
Ultimate Warnior,Tyrone Tracy,RB,1,16,199.7,,15
gaytonmanning,Jayden Reed,WR,1,9,166.8,,8
olavegardner,Rashid Shaheed,WR,1,1,134.8,,0
dwarner827,Woody Marks,RB,1,10,190.1,,9
JBonez86,Kenny Gainwell,RB,1,0,154.3,,-1
Zvernal,Wan'Dale Robinson,WR,1,14,173.8,,13
EasyE12345,Evan McPherson,K,1,0,0.0,,-1
Ultimate Warnior,Mike Washington,RB,1,0,0.0,,-1
gaytonmanning,Jakobi Meyers,WR,1,1,157.8,Questionable,0
olavegardner,Romeo Doubs,WR,1,1,155.2,,0
dwarner827,Tyjae Spears,RB,1,1,160.8,,0
JBonez86,Philadelphia Eagles,DEF,1,0,0.0,,-1
Zvernal,Deebo Samuel,WR,1,1,150.9,,0
EasyE12345,Xavier Worthy,WR,1,1,158.7,Questionable,0
Ultimate Warnior,Baltimore Ravens,DEF,1,0,0.0,,-1
gaytonmanning,Jalen Coker,WR,1,1,136.4,,0
olavegardner,Khalil Shakir,WR,1,1,145.8,Questionable,0
dwarner827,Oronde Gadsden,TE,1,1,127.0,,0
JBonez86,Harrison Mevis,K,1,0,0.0,,-1
Zvernal,Minnesota Vikings,DEF,1,0,0.0,,-1
Ultimate Warnior,Baker Mayfield,QB,1,1,321.9,,0
gaytonmanning,Isiah Pacheco,RB,1,1,160.8,Questionable,0
olavegardner,Dallas Goedert,TE,1,10,137.2,,9
dwarner827,Jared Goff,QB,1,1,332.2,,0
gaytonmanning,Los Angeles Chargers,DEF,1,0,0.0,,-1
olavegardner,Will Reichard,K,1,0,0.0,,-1
gaytonmanning,Mark Andrews,TE,1,1,123.0,,0
olavegardner,Jacksonville Jaguars,DEF,1,0,0.0,,-1
gaytonmanning,Keaton Mitchell,RB,1,0,127.6,Questionable,-1
olavegardner,Jalen Nailor,WR,1,0,100.0,,-1
olavegardner,Tank Bigsby,RB,1,0,133.5,,-1
olavegardner,Brenton Strange,TE,1,1,122.4,,0
